amount,sender_name,sender_ref
215,Christoph von Carlowitz,https://d-nb.info/gnd/128556641
210,"Behrens, Peter",https://d-nb.info/gnd/118508466
207,Mgf. Albrecht,https://d-nb.info/gnd/118647776
204,August Böckh,https://d-nb.info/gnd/118808850
201,"Franck von Franckenau, Georg",https://d-nb.info/gnd/102374031
201,Johann Franz Encke,https://d-nb.info/gnd/116471727
200,Olga Waissnix,https://d-nb.info/gnd/118628526
200,"L'Ecluse, Charles de",https://d-nb.info/gnd/118890646
199,Ks. Karl V.,https://d-nb.info/gnd/118560093
197,"Laya, Aglaé, in zweiter Ehe Comte",https://d-nb.info/gnd/1157468330
193,"Raboteau, Pierre Paul",https://d-nb.info/gnd/1067648739
192,"Occo, Adolf",https://d-nb.info/gnd/117079510
190,Hz. Johann,https://d-nb.info/gnd/100503225
187,"dem Preußischen Ministerium für geistliche, Medizinal- und Unterrichtsangelegenheiten",https://d-nb.info/gnd/35254-8
183,"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",https://d-nb.info/gnd/121734307
180,Friedrich Heinrich Jacobi,https://d-nb.info/gnd/118556312
180,"Mentzel, Christian",https://d-nb.info/gnd/116885890
178,F. W. Bessel,https://d-nb.info/gnd/118510215
175,"Sanson de Pongerville, Jean-Baptiste",https://d-nb.info/gnd/1157716393
169,"Sanders, Daniel",https://d-nb.info/gnd/119242044
167,"Posthius, Johannes",https://d-nb.info/gnd/119006464
167,Hedy Kempny,https://d-nb.info/gnd/11872181X
166,"Haller, Albrecht von",https://d-nb.info/gnd/118545140
165,Joachim II. von Brandenburg,https://d-nb.info/gnd/118557556
162,"Kalb, Charlotte von",https://d-nb.info/gnd/11871483X
161,Johann Friedrich von Cotta,https://d-nb.info/gnd/11852240X
161,"Schmitt, Carl",https://d-nb.info/gnd/11860922X
159,"Weber, Max Maria von",https://d-nb.info/gnd/119429829
159,"Libavius, Andreas",https://d-nb.info/gnd/119522403
156,"Patin, Charles",https://d-nb.info/gnd/116053356
151,"Kram, Franz",https://d-nb.info/gnd/133001628
150,"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",https://d-nb.info/gnd/121286169
148,Achim von Arnim,https://d-nb.info/gnd/118504177
145,Luise Adelgunde Victorie Kulmus,https://d-nb.info/gnd/118696734
143,"Geßner, Johannes",https://d-nb.info/gnd/119331136
142,"Musiol, Robert",https://d-nb.info/gnd/117188921
142,Karl Vom Stein Zum Altenstein,https://d-nb.info/gnd/11862783X
142,"Speyer, Wilhelm",https://d-nb.info/gnd/117493236
139,Christian Gottlieb Ludwig,https://d-nb.info/gnd/117282405
139,Hz. Heinrich von Braunschweig,https://d-nb.info/gnd/119024918
139,Ignacy Krasicki,https://d-nb.info/gnd/119193310
138,"Weber, Gottfried",https://d-nb.info/gnd/118643231
138,"Zweig, Stefan",https://d-nb.info/gnd/118637479
137,"Brühl, Karl Moritz von",https://d-nb.info/gnd/118660276
135,"Herzl, Theodor",https://d-nb.info/gnd/118550241
135,Louise Wilhelmine Henriette Fürstin von Anhalt-Dessau,https://d-nb.info/gnd/118729659
134,Christian Thomasius,https://d-nb.info/gnd/11862220X
134,"Komerstadt, Georg von",https://d-nb.info/gnd/117737437
