url,lat,long,name,country_code
https://sws.geonames.org/623317/,55.4879,28.7856,Polatsk,BY
https://sws.geonames.org/2826594/,51.57426,10.95582,Stolberg,DE
https://sws.geonames.org/2637536/,51.65496,-1.97307,Somerford Keynes,GB
https://sws.geonames.org/2661241/,46.51217,9.85794,Celerina,CH
https://sws.geonames.org/2842942/,51.01419,6.27195,Rurich,DE
https://sws.geonames.org/2511174/,28.46824,-16.25462,Tenerife,ES
https://sws.geonames.org/2867613/,51.41505,9.65046,Hannoversch Münden,DE
https://sws.geonames.org/2510426/,38.59213,-1.69191,Tobarra,ES
https://sws.geonames.org/2859904/,50.90416,12.97141,Oberlichtenau,DE
https://sws.geonames.org/2761592/,46.70639,13.35389,Weissensee,AT
https://sws.geonames.org/2756076/,52.71653,5.27615,Gemeente Enkhuizen,NL
https://sws.geonames.org/2813755/,48.0525,12.22341,Wasserburg am Inn,DE
https://sws.geonames.org/2901658/,50.85,10.7,Hohenkirchen,DE
https://sws.geonames.org/3149312/,63.11045,7.72795,Kristiansund,NO
https://sws.geonames.org/6545310/,52.52003,13.40489,Mitte,DE
https://sws.geonames.org/2844926/,50.84717,14.06005,Rosenthal,DE
https://sws.geonames.org/2800867/,50.85332,4.35144,Brussels Capital,BE
https://sws.geonames.org/6541863/,44.06837,12.55565,Rimini,IT
https://sws.geonames.org/3170754/,46.42466,12.36416,Pieve di Cadore,IT
https://sws.geonames.org/2810833/,51.66446,7.63421,Werne,DE
https://sws.geonames.org/2927464/,47.94602,11.29326,Feldafing,DE
https://sws.geonames.org/2643179/,51.26667,0.51667,Maidstone,GB
https://sws.geonames.org/2931168/,51.27271,9.37572,Elgershausen,DE
https://sws.geonames.org/2844434/,50.99556,9.72838,Rotenburg an der Fulda,DE
https://sws.geonames.org/4518598/,39.75459,-84.29068,Montgomery,US
https://sws.geonames.org/2750194/,51.83843,4.12897,Nieuw-Helvoet,NL
https://sws.geonames.org/6554815/,49.44947,7.79483,Kaiserslautern,DE
https://sws.geonames.org/11765551/,47.43608,9.55585,Altenstein,CH
https://sws.geonames.org/11609540/,51.67617,10.09931,Katlenburg,DE
https://sws.geonames.org/457954/,56.50474,21.01085,Liepāja,LV
https://sws.geonames.org/2893884/,51.34217,11.34028,Kalbsrieth,DE
https://sws.geonames.org/3021411/,49.9216,1.07772,Dieppe,FR
https://sws.geonames.org/3078198/,50.0,14.5,Bohemia,CZ
https://sws.geonames.org/2946368/,48.85847,10.35417,Bopfingen,DE
https://sws.geonames.org/3093692/,51.21006,16.1619,Legnica,PL
https://sws.geonames.org/3177219/,43.84052,13.01665,Fano,IT
https://sws.geonames.org/3028808/,43.55135,7.01275,Cannes,FR
https://sws.geonames.org/658225/,60.16952,24.93545,Helsinki,FI
https://sws.geonames.org/2849483/,49.01513,12.10161,Regensburg,DE
https://sws.geonames.org/6558344/,49.376,10.1795,Rothenburg ob der Tauber,DE
https://sws.geonames.org/2853292/,50.4973,12.13782,Plauen,DE
https://sws.geonames.org/2858716/,50.95042,13.99023,Obervogelgesang,DE
https://sws.geonames.org/2899072/,50.32925,7.6107,Horchheim,DE
https://sws.geonames.org/2939440/,52.4581,13.28702,Dahlem,DE
https://sws.geonames.org/2763209/,47.22534,15.23615,Übelbach,AT
https://sws.geonames.org/683844/,45.64861,25.60613,Brasov,RO
