amount,receiver_name,receiver_ref
6,"Audouin de Géronval, Maurice",https://d-nb.info/gnd/1067991905
6,Adam Tribbechov,https://d-nb.info/gnd/121568636
6,Rat zu Erfurt,https://d-nb.info/gnd/4015240-6
6,Johann Heinrich Steiner,https://d-nb.info/gnd/1037496310
6,"Herrmann, Gottfried",https://d-nb.info/gnd/118549944
6,Andreas Pflug,https://d-nb.info/gnd/142048852
6,"Nauenburg, Gustav",https://d-nb.info/gnd/116898798
6,"Apin, Johann Ludwig",https://d-nb.info/gnd/124557104
6,Friedrich August Clemens Werthes,https://d-nb.info/gnd/11730767X
6,"Junius, Melchior",https://d-nb.info/gnd/136161472
6,"Fesel, Johannes",https://d-nb.info/gnd/1140138812
6,Andreas Karlstadt,https://d-nb.info/gnd/118560239
6,Theodor von Schön,https://d-nb.info/gnd/118610007
6,"Schulz, Johann Philipp Christian",https://d-nb.info/gnd/117246603
6,Herzogin Christine von Mecklenburg-Güstrow,https://d-nb.info/gnd/115373128
6,Jakob Michael Reinhold Lenz,https://d-nb.info/gnd/118571656
6,Joachim Justus Breithaupt,https://d-nb.info/gnd/104114010
6,Hans Hofmann,https://d-nb.info/gnd/137600615
6,Caroline von Schelling,https://d-nb.info/gnd/118607049
6,"Miltitz, Carl Borromäus von",https://d-nb.info/gnd/117047155
6,Johann Cunrad Hößlin,https://d-nb.info/gnd/124410367
6,Gf. Albrecht von Stolberg-Wernigerode,https://d-nb.info/gnd/115617981
6,"Müffling, Karl Freiherr von",https://d-nb.info/gnd/1026746299
6,"Schlieben, Eustachius von",https://d-nb.info/gnd/1147620814
6,Graf Philipp Ernst von Schaumburg-Lippe,https://d-nb.info/gnd/137838638
6,"Lazarus, Moritz",https://d-nb.info/gnd/118570439
6,"Fuhrmann, Wolfgang",https://d-nb.info/gnd/1140143107
6,"Oeder, Georg Christian",https://d-nb.info/gnd/117097152
6,Willibald Pirckheimer,https://d-nb.info/gnd/118594605
6,Friedrich Gottlieb Klopstock,https://d-nb.info/gnd/118563386
6,"Sonnenthal, Adolf",https://d-nb.info/gnd/119343207
6,König Friedrich V.,https://d-nb.info/gnd/11954931X
6,Johann Christian Gottfried Göpferdt,https://d-nb.info/gnd/119441926
6,"Müllner, Adolph",https://d-nb.info/gnd/118737775
6,Lepsius,https://d-nb.info/gnd/118727699
6,"Hartmann, Johan Peter Emilius",https://d-nb.info/gnd/119428512
6,"Singer, Else",https://d-nb.info/gnd/115998140X
6,"Wilhelm I., Deutscher Kaiser und König von Preußen",https://d-nb.info/gnd/118632884
6,Johann Karl Wezel,https://d-nb.info/gnd/118632108
6,Johannes Obernburger,https://d-nb.info/gnd/123304768
6,"Laski, Johannes",https://d-nb.info/gnd/118726633
6,Sophie Brentano,https://d-nb.info/gnd/11858104X
6,"Cappellini, Lili",https://d-nb.info/gnd/131362089
6,"Babois, Marguerite Victoire",https://d-nb.info/gnd/1078749973
6,Francesco Lucca,https://d-nb.info/gnd/1019623209
6,"Kreil, Karl",https://d-nb.info/gnd/11651522
6,"Schrenck, Albert Philibert von",https://d-nb.info/gnd/1035137143
6,"Planché, James",https://d-nb.info/gnd/12115873X
6,Hermann Christoph Gottfried Demme (Pseud. Karl Stille),https://d-nb.info/gnd/116069422
6,"Will, Gottfried",https://d-nb.info/gnd/1019756853
6,"Schwebel, Johannes",https://d-nb.info/gnd/118795767
6,"Schindler, Anton",https://d-nb.info/gnd/117271977
6,"Sloane, Hans",https://d-nb.info/gnd/118797638
6,Jeremias David Reuss,https://d-nb.info/gnd/11565352X
6,Rat zu Wittenberg,https://d-nb.info/gnd/4066640-2
6,"Saulcy (de), Félicien",https://d-nb.info/gnd/117619426
6,"Gassner, Ferdinand Simon",https://d-nb.info/gnd/116450088
6,"Beygang, Johann Gottlob",https://d-nb.info/gnd/143458388
6,"Cordatus, Konrad",https://d-nb.info/gnd/118670077
6,"Wilhelm I. König von, deutscher Kaiser Preußen",https://d-nb.info/gnd/118535978
6,Mgf. Georg von Brandenburg-Ansbach,https://d-nb.info/gnd/118716905
6,Johann Jakob Breitinger,https://d-nb.info/gnd/118514881
6,"Seyffarth, Gustav",https://d-nb.info/gnd/117459666
6,"Ehret, Georg Dionysius",https://d-nb.info/gnd/118529307
6,Ebf. Friedrich von Magdeburg,https://d-nb.info/gnd/130473774
6,Karl Friedrich Willibald von Groschlag,https://d-nb.info/gnd/10434976X
6,"Kömpel, August",https://d-nb.info/gnd/116288310
6,Christian Günther Graf von Bernstorff,https://d-nb.info/gnd/116147695
6,"Grau, Gottfried Adolph",https://d-nb.info/gnd/116824158
6,"Brückmann, Franz Ernst",https://d-nb.info/gnd/118515853
6,Wilhelm Körte,https://d-nb.info/gnd/116300914
6,"Henkel, Georg Andreas",https://d-nb.info/gnd/116709561
6,Kurfürst Friedrich August II. von Sachsen,https://d-nb.info/gnd/118505092
6,"Braun, Felix",https://d-nb.info/gnd/118514598
6,Augustus Buchner,https://d-nb.info/gnd/118913859
6,"Kulmus, Johann Adam",https://d-nb.info/gnd/116607505
6,Hermann Schlagintweit-Sakünlünski,https://d-nb.info/gnd/119074117
6,"Bischoff, Georg Friedrich",https://d-nb.info/gnd/116194863
6,Franz Joseph I.,https://d-nb.info/gnd/118535013
6,"Beyer, Hartmann",https://d-nb.info/gnd/118510487
6,"L'Ecluse, Charles de",https://d-nb.info/gnd/118890646
6,"Wolfssohn, Aaron",https://d-nb.info/gnd/120163683
6,Argonauta,https://d-nb.info/gnd/1109771169
6,"Domeier, Lucie",https://d-nb.info/gnd/116176024
6,"Korte, Valentin",https://d-nb.info/gnd/116774665
6,"Repsold, Adolph",https://d-nb.info/gnd/117522627
6,Ludwig van Beethoven,https://d-nb.info/gnd/118508288
6,Johannes Placentinus,https://d-nb.info/gnd/100397077
6,"Paillet, Alphonse Gabriel Victor (Rechtsanwalt)",https://d-nb.info/gnd/1050570405
6,Nell Walden,https://d-nb.info/gnd/118891456
6,Wolfgang Heribert Freiherr von Dalberg,https://d-nb.info/gnd/118678647
6,"Düring, Balthasar",https://d-nb.info/gnd/118527886
6,"Schweighäuser, Johann Gottfried",https://d-nb.info/gnd/119044064
6,Dekan [Christoph Blanck] des Kleinen Chors des Allerheiligenstifts zu Wittenberg,https://d-nb.info/gnd/133648877
6,George Ticknor,https://d-nb.info/gnd/11737573X
6,"Metzger, Martin Christoph",https://d-nb.info/gnd/12276451X
6,"Herschel, John",https://d-nb.info/gnd/118703897
6,"Aleksandr I., Russland, Zar",https://d-nb.info/gnd/118501852
6,Lang,https://d-nb.info/gnd/116687177
6,"Ulmer, Johann Konrad",https://d-nb.info/gnd/120341913
6,Wilhelm Grimm,https://d-nb.info/gnd/118542265
6,"Bergen, Carl August von",https://d-nb.info/gnd/11816919X
6,Moritz Georg Weidmann,https://d-nb.info/gnd/118766163
6,George Catlin,https://d-nb.info/gnd/118519689
6,"Duponceau, Peter Stephen",https://d-nb.info/gnd/11625243X
6,"Hofmann, Friedrich",https://d-nb.info/gnd/101134541
6,Balthasar Bebel,https://d-nb.info/gnd/11609902X
6,"Siber, Adam",https://d-nb.info/gnd/129069957
6,"Vogt, Nikolaus",https://d-nb.info/gnd/119055988
6,"Gabler, Georg Andreas",https://d-nb.info/gnd/11632662X
6,Arnold Oskar Meyer,https://d-nb.info/gnd/11755569X
6,"Micyllus, Jakob",https://d-nb.info/gnd/100310281
6,Franz Serafin Exner,https://d-nb.info/gnd/116319410
5,Georgine Heyne,https://d-nb.info/gnd/116400668
5,Georg Witzel,https://d-nb.info/gnd/118807757
5,Johann Rivius der Ältere,https://d-nb.info/gnd/12459364X
5,"Rother, Christian von",https://d-nb.info/gnd/118603256
5,"Mumenthaler, Johann David",https://d-nb.info/gnd/137911971
5,"Wüllner, Franz",https://d-nb.info/gnd/11877137X
5,"Nassau-Dillenburg, Wilhelm von",https://d-nb.info/gnd/124021727
5,"Wieland, Ulrich",https://d-nb.info/gnd/1148692134
5,"Rubiner, Ludwig",https://d-nb.info/gnd/118603590
5,Friedrich Christoph Förster,https://d-nb.info/gnd/100278043
5,"Airy, George Biddell",https://d-nb.info/gnd/116274646
5,"Hübner, Heinrich",https://d-nb.info/gnd/117045098
5,"Nößler, Georg",https://d-nb.info/gnd/117039063
5,Kilian Rudrauff,https://d-nb.info/gnd/116672242
5,"Neumann, Caspar",https://d-nb.info/gnd/121325040
5,Heinrich Eberhard Gottlob Paulus,https://d-nb.info/gnd/115368361
5,Berthold Viertel,https://d-nb.info/gnd/118768395
5,"Gerhard, Johann",https://d-nb.info/gnd/102526613
5,"Schliemann, Heinrich",https://d-nb.info/gnd/118608215
5,Philipp Ludwig Hanneken,https://d-nb.info/gnd/115396128
5,Johann Ferdinand Koreff,https://d-nb.info/gnd/118777831
5,Arnold H. L. Heeren,https://d-nb.info/gnd/118773607
5,Leonhard Meister,https://d-nb.info/gnd/100227627
5,"Friederike, Fürstin zu Solms",https://d-nb.info/gnd/118823663
5,Otto von Augsburg,https://d-nb.info/gnd/118805967
5,"Moritz, Karl Philipp",https://d-nb.info/gnd/118584162
5,"Mann, Heinrich",https://d-nb.info/gnd/137103433
5,Friedrich Müller,https://d-nb.info/gnd/118584871
5,Äbtissin Anna Dorothea von Sachsen-Weimar von Quedlinburg,https://d-nb.info/gnd/120208261
5,Ernst zu Münster,https://d-nb.info/gnd/118585509
5,"Einsiedel, Detlef Graf von",https://d-nb.info/gnd/116425415
5,"Planitz, Georg von der",https://d-nb.info/gnd/1143733460
5,"Schenck, Jakob",https://d-nb.info/gnd/100332269
5,Johann Heinrich Boecler,https://d-nb.info/gnd/116217014
5,Johann Kaspar Lavater,http://d-nb.info/gnd/118570293
5,Michael Helding,https://d-nb.info/gnd/118710109
5,N. N. in Waisenhausbuchhandlung Braunschweig,https://d-nb.info/gnd/6146566-5
5,"Bölsche, Adele",https://d-nb.info/gnd/1243987626
5,Gebrüder Gädicke (Gädike),https://d-nb.info/gnd/6146544-6
5,"Sturm, Jakob",https://d-nb.info/gnd/11875758X
5,"Gerhard, Wilhelm",https://d-nb.info/gnd/118690728
5,"Spengler, Lazarus",https://d-nb.info/gnd/118751867
5,Jakob Friedrich von Fritsch,https://d-nb.info/gnd/118693735
5,Philippine Engelhard,https://d-nb.info/gnd/116489014
5,Friedrich Meinecke,https://d-nb.info/gnd/118580140
5,"Johann Friedrich Hartknoch, der Jüngere",https://d-nb.info/gnd/116490845
5,"Schade, Johann Gottfried",https://d-nb.info/gnd/117093165
5,Wilhelm Beer,https://d-nb.info/gnd/119474735
5,"Joachim, Joseph",https://d-nb.info/gnd/118776223
5,Albertine Ida Gustavine de Broglie,https://d-nb.info/gnd/173169228
5,Paul Christian Wattenbach,https://d-nb.info/gnd/117151319
5,Cornelis Bronsgeest,https://d-nb.info/gnd/116713852
5,"Liptzin, Sol",https://d-nb.info/gnd/118817256
5,"Lecoq, Carl Ludwig von",https://d-nb.info/gnd/172484790
5,Gf. Christoph von Oldenburg,https://d-nb.info/gnd/118736191
5,"Thomae, Friedrich Wilhelm Ludwig",https://d-nb.info/gnd/122876652
5,"Gläser, Franz",https://d-nb.info/gnd/116649666
5,"Eberhard, Caspar",https://d-nb.info/gnd/12014901X
5,Heinrich Frölich,https://d-nb.info/gnd/116830794
5,"Castelli, Ignaz Franz",https://d-nb.info/gnd/118667424
5,"Buscoducensis, Nicolaus",https://d-nb.info/gnd/119774089
5,"Berlijn, Aron Wolf",https://d-nb.info/gnd/116136049
5,"Baermann, Carl sen.",https://d-nb.info/gnd/116036842
5,"Mörlin, Joachim",https://d-nb.info/gnd/11692960X
5,Michael Greiner,https://d-nb.info/gnd/116830999
5,"Cramer, Melchior Conrad",https://d-nb.info/gnd/121536424
5,Johann Heinrich Fischer,https://d-nb.info/gnd/116558296
5,Johann Daniel Engelhard,https://d-nb.info/gnd/100122973
5,"Flemming, Friedrich Ferdinand",https://d-nb.info/gnd/116613483
5,"Pacius, Fredrik",https://d-nb.info/gnd/116014687
5,"Pabst, Julius",https://d-nb.info/gnd/116014075
5,"Reiffenstein, Johannes d. J.",https://d-nb.info/gnd/119800500
5,"Widmann, Joachim Wilhelm",https://d-nb.info/gnd/1015027768
5,Gottlieb Salomon Schreber,https://d-nb.info/gnd/120735466
5,"Conrad, Michael Georg",https://d-nb.info/gnd/118669915
5,"Rolfinck, Werner",https://d-nb.info/gnd/116600705
5,"Campeggio, Lorenzo",https://d-nb.info/gnd/118666843
5,Benjamin Gottlob Hoffmann,https://d-nb.info/gnd/116950781
5,Johann Arnold Ebert,https://d-nb.info/gnd/100116523
5,Rat zu Altenburg,https://d-nb.info/gnd/4001409-5
5,Georg Benjamin Mendelssohn,https://d-nb.info/gnd/116877146
5,"Dessoff, Otto Felix",https://d-nb.info/gnd/116085053
5,"Matthias, Thomas",https://d-nb.info/gnd/142680745
5,Balthasar Friedrich Saltzmann,https://d-nb.info/gnd/122766393
5,"Kindt, Nikolaus",https://d-nb.info/gnd/119729008
5,"Berger, Alfred, Freiherr von",https://d-nb.info/gnd/118655930
5,Georg Heinrich Ludwig Nicolovius,https://d-nb.info/gnd/118786113
5,Caspar Borner,https://d-nb.info/gnd/116255498
5,"Hegemann, Werner",https://d-nb.info/gnd/116571284
5,Adam Christoph Jacobi,https://d-nb.info/gnd/100897142
5,Johann Wilhelm,https://d-nb.info/gnd/100863892
5,"Dietrichstein, Moritz",https://d-nb.info/gnd/116113669
5,Johann Christoph Meelführer,https://d-nb.info/gnd/100857825
5,"Künzel, Wilhelm",https://d-nb.info/gnd/116592109
5,Christian Ernst Carl Graf von Bentzel-Sternau,https://d-nb.info/gnd/11612363X
5,Johann Abraham Peter Schulz,https://d-nb.info/gnd/118762494
5,Friedrich Köpken,https://d-nb.info/gnd/116295333
5,Christoph von der Straßen,https://d-nb.info/gnd/13855787X
5,"Meyerbeer, Minna",https://d-nb.info/gnd/117008338
5,"Albrecht, Johann Sebastian",https://d-nb.info/gnd/11628384X
5,"Suttner, Bertha von",https://d-nb.info/gnd/118620126
5,"Schweigger, Johann Salomon Christoph",https://d-nb.info/gnd/118795775
5,Eduard Spranger,https://d-nb.info/gnd/118616390
5,"Fuß, Paul Heinrich",https://d-nb.info/gnd/116878967
5,"Herterich, Franz",https://d-nb.info/gnd/116752947
5,"Berge, Johannes vom",https://d-nb.info/gnd/12086729X
5,"Rabe, Martin Friedrich",https://d-nb.info/gnd/115535527
5,"Seckendorff-Aberdar, Christoph Ludwig von",https://d-nb.info/gnd/122331966
5,Königin Ulrike Eleonore von Schweden,https://d-nb.info/gnd/119550660
5,Josef Loschmidt,https://d-nb.info/gnd/119550407
5,"Filipowicz, Elisabeth",https://d-nb.info/gnd/116513195
5,"Einsiedel, Heinrich von",https://d-nb.info/gnd/119548801
5,Preußische Akademie der Künste,https://d-nb.info/gnd/004745523
5,"Schwartzerdt, Georg",https://d-nb.info/gnd/122235363
5,Christian Scriver,https://d-nb.info/gnd/118612433
5,"Stobwasser, Christian Heinrich",https://d-nb.info/gnd/139321292
5,"Firnhaber, Carl Georg",https://d-nb.info/gnd/116532785
5,Heinrich Otto Meisner,https://d-nb.info/gnd/118782940
5,"Fürstenau, Carl Bernhard",https://d-nb.info/gnd/1196233454
5,"Conradi, Matthias",https://d-nb.info/gnd/14052357X
5,"Ries, Hubert",https://d-nb.info/gnd/116544570
5,"Lange, Karl Julius",https://d-nb.info/gnd/100038646
5,"Bötticher, Johannes",https://d-nb.info/gnd/119627140
5,"Wiedebein, Gottlob",https://d-nb.info/gnd/120755106
5,"Genast, Eduard",https://d-nb.info/gnd/116540079
5,Ludwig Dehio,https://d-nb.info/gnd/118671278
5,"Schreiber, Hieronymus",https://d-nb.info/gnd/119824574
5,"Štěpánek, Jan Nepomuk",https://d-nb.info/gnd/139587853
5,"Benedikt, Erasmus",https://d-nb.info/gnd/119617285
5,"Mechetti, Pietro",https://d-nb.info/gnd/11697673X
5,"Marron, Paul-Henri",https://d-nb.info/gnd/116790490
5,Oscar Pollak,https://d-nb.info/gnd/122391160
5,"Maril, Konrad",https://d-nb.info/gnd/116781130
5,"Julius, Christoph",https://d-nb.info/gnd/1019731397
5,Daniel Gottfried Schreber,https://d-nb.info/gnd/118795430
5,Kurfürst Friedrich Karl Joseph von Erthal,https://d-nb.info/gnd/118703234
5,Martin Poczubut,https://d-nb.info/gnd/117687588
5,Friedrich Wilhelm Gotter,https://d-nb.info/gnd/118540939
5,Fürst Christian I. von Anhalt-Bernburg,https://d-nb.info/gnd/119118416
5,Georg Grabov,https://d-nb.info/gnd/104181958
5,Karl von Hardenberg,https://d-nb.info/gnd/109475860
5,"Delius, Matthäus",https://d-nb.info/gnd/136191878
5,"Rothmann, Bernhard",https://d-nb.info/gnd/104091061
5,Jean Baptiste Joseph Delambre,https://d-nb.info/gnd/118878913
5,"Scherer, Joseph",https://d-nb.info/gnd/117219029
5,"Alibert, Jean-Louis, baron",https://d-nb.info/gnd/118501984
5,"Stratius, Johannes",https://d-nb.info/gnd/132553856
5,Diabelli,https://d-nb.info/gnd/119216132
5,"Welden, Konstantin Ludwig Freiherr von",https://d-nb.info/gnd/117309702
5,"D'Abernon, Edgar Vincent",https://d-nb.info/gnd/11886243X
5,Jean du Bellay,https://d-nb.info/gnd/118113437
5,Karl Christian Canzler (Kanzler),https://d-nb.info/gnd/135707838
5,"Weiße, Carl",https://d-nb.info/gnd/1181118654
5,"Walther, Johann Adam",https://d-nb.info/gnd/104197420
5,"Johnston, Sir Alexander",https://d-nb.info/gnd/117165832
5,Valentin von Teutleben,https://d-nb.info/gnd/104078014
5,"Sartorius, Johann Georg",https://d-nb.info/gnd/104202092
5,"Ramdohr, Friedrich Wilhelm Basilius von",https://d-nb.info/gnd/119016753
5,Justin Heinrich Knecht,https://d-nb.info/gnd/118939440
5,"Bergmann, Friedrich Christian",https://d-nb.info/gnd/104074116
5,Tilemann Güntherode,https://d-nb.info/gnd/136152228
5,Joseph Leonhard Bitter,https://d-nb.info/gnd/1082775169
5,"Viali, Felice",https://d-nb.info/gnd/104058412
5,Karl Ernst von Baer,https://d-nb.info/gnd/118505831
5,"Friedrich August II., König von Sachsen",https://d-nb.info/gnd/118917218
5,"Beyer, Leonhard",https://d-nb.info/gnd/130434728
5,"Wenner, Johann Friedrich",https://d-nb.info/gnd/117292788
5,"Sitzinger, Ulrich",https://d-nb.info/gnd/104144971
5,Karl August Eschenmayer,https://d-nb.info/gnd/118531042
5,Wilhelm Ternite,https://d-nb.info/gnd/11727335X
5,Johann Friedrich Wilhelm Jerusalem,https://d-nb.info/gnd/118557459
5,"Götz, Johann Christoph",https://d-nb.info/gnd/130064939
5,"Caroline, Friederike Wilhelmine",https://d-nb.info/gnd/119072858
5,"Severino, Marco Aurelio",https://d-nb.info/gnd/11747486X
5,Heinrich von Bünau,https://d-nb.info/gnd/1139799835
5,Immanuel Kant,https://d-nb.info/gnd/118559796
5,"Sörgel, Friedrich Wilhelm",https://d-nb.info/gnd/117477125
5,Heinrich Joseph von Collin,https://d-nb.info/gnd/11852156X
5,Hans Haussherr,https://d-nb.info/gnd/130191973
5,Hz. Johann d. J. von Sachsen,https://d-nb.info/gnd/136293662
5,"Wolke, Christian Heinrich",https://d-nb.info/gnd/117432792
5,Friedrich August von Staegemann,https://d-nb.info/gnd/11907947X
5,Maria Wilhelmine von Thun,https://d-nb.info/gnd/1046110330
5,"Planitz, Christoph von der",https://d-nb.info/gnd/1054403112
5,"Cachedenier, Stephan",https://d-nb.info/gnd/134136195
5,Friedrich von Stein,https://d-nb.info/gnd/117241237
5,Caspar von Schönberg,https://d-nb.info/gnd/1193065216
5,"Trew, Christoph",https://d-nb.info/gnd/117417122
5,"Sonnleithner, Leopold von",https://d-nb.info/gnd/117508594
5,"Meienburg, Christoph",https://d-nb.info/gnd/129650188
5,"Erman, GD",https://d-nb.info/gnd/119205173
5,"Voelderndorff (Völderndorf) und Waradein , Carl Friedrich Wilhelm Freiherr von",https://d-nb.info/gnd/117449091
5,"Schletterer, Hans Michael",https://d-nb.info/gnd/117326720
5,"Wylde, Henry",https://d-nb.info/gnd/117348228
5,Gustav Bethge,https://d-nb.info/gnd/1042645949
5,"Dillenius, Johann Jacob",https://d-nb.info/gnd/11764157X
5,"Jomard, Edme François",https://d-nb.info/gnd/117175048
5,Franz Xaver von Zach,https://d-nb.info/gnd/119151456
5,Maria Regina Thomasius von Troschenreuth und Wiedersberg,https://d-nb.info/gnd/117350303
5,"Herz, Henriette",https://d-nb.info/gnd/118550152
5,"Gaum, Johann Friedrich",https://d-nb.info/gnd/103753834X
5,John Murray,https://d-nb.info/gnd/117187666
5,"Paxmann, Heinrich",https://d-nb.info/gnd/104218851
5,"Evelt, Christian (Rechtsanwalt in Düsseldorf)",https://d-nb.info/gnd/117736961
5,Christian Friedrich von Blanckenburg,https://d-nb.info/gnd/1176664220
5,"Hassenstein, Bohuslav Felix von",https://d-nb.info/gnd/1074844661
5,Hieronymus Kiesewetter,https://d-nb.info/gnd/1141096986
5,"Melanchthon, Philipp d. J.",https://d-nb.info/gnd/131835688
5,Gf. Günther von Schwarzburg,https://d-nb.info/gnd/131545000
5,"Vermeulen, Adrianus Catharinus Gerardus",https://d-nb.info/gnd/117744158
5,"Morgagni, Giambattista",https://d-nb.info/gnd/104265264
5,Angelo Maria Querini,https://d-nb.info/gnd/119366444
5,Otto von Guericke der Ältere,https://d-nb.info/gnd/11854330X
5,Georg Friedrich von Brandenburg-Ansbach,https://d-nb.info/gnd/118958410
5,"Tarnowski, Johannes",https://d-nb.info/gnd/104279745
5,Heinrich Carl Abraham Eichstaedt,https://d-nb.info/gnd/104045213
5,"Hecker, Valentin",https://d-nb.info/gnd/114061472X
5,Luise von Voss,https://d-nb.info/gnd/117746185
5,"Draconites, Johannes",https://d-nb.info/gnd/118989987
5,"Cricius, Andreas",https://d-nb.info/gnd/129090832
4,"Didot, Firmin",https://d-nb.info/gnd/116173068
4,"Paul, Wilhelm",https://d-nb.info/gnd/116061316
4,"Conrad, Andreas",https://d-nb.info/gnd/14384475X
4,"Barth, Christian Karl",https://d-nb.info/gnd/116063181
4,"Barnowsky, Viktor",https://d-nb.info/gnd/118652613
4,"Zumsteeg, Rudolf",https://d-nb.info/gnd/1222924021
4,"Thürheim, Friedrich Karl Graf von",https://d-nb.info/gnd/117358991
4,Reinhard Schenk,https://d-nb.info/gnd/1167532775
4,"Delius, Heinrich Friedrich von",https://d-nb.info/gnd/116063440
4,"Dotzauer, Justus Johann Friedrich",https://d-nb.info/gnd/118680552
4,"Markull, Friedrich Wilhelm",https://d-nb.info/gnd/116783575
4,Johann Lorenz Benzler,https://d-nb.info/gnd/116118156
4,George Francis FitzGerald,https://d-nb.info/gnd/119076241
4,"Stromeyer, Karl",https://d-nb.info/gnd/117345180
4,"Eitzen, Paul von",https://d-nb.info/gnd/129922706
4,Louis Mathieu Langlès,https://d-nb.info/gnd/116725087
4,Lorenz von Crell,https://d-nb.info/gnd/116725346
4,"Mentzel, Christian",https://d-nb.info/gnd/116885890
4,"Brucker, Johann Jakob",https://d-nb.info/gnd/116725966
4,"Mangold, Carl Amand",https://d-nb.info/gnd/116730072
4,Johann Ulrich (von) König,https://d-nb.info/gnd/118777661
4,Heinrich Gottfried Zitzmann (Pseud. Uffo von Wildingen),https://d-nb.info/gnd/1050318617
4,"Tychsen, Thomas Christian",https://d-nb.info/gnd/117439479
4,"Wolff, P.A.",https://d-nb.info/gnd/117443018
4,Johann Samuel Gottlob Gräf,https://d-nb.info/gnd/100492304
4,"Göschen, Carl Friedrich",https://d-nb.info/gnd/116731923
4,Christoph von Werthern,https://d-nb.info/gnd/142169625
4,Mark Siegelberg,https://d-nb.info/gnd/11736066X
4,"Rennenkampff, Karl Jakob Alexander Edler von",https://d-nb.info/gnd/100545580
4,Johann Elias Kirch,https://d-nb.info/gnd/1049922433
4,Dom-Musik-Verein und Mozarteum,https://d-nb.info/gnd/10054512-9
4,"Zwilling, Gabriel",https://d-nb.info/gnd/129600601
4,"Biedenfeld, Ferdinand von",https://d-nb.info/gnd/116163127
4,"Denis, Ferdinand",https://d-nb.info/gnd/116071478
4,Gottlob Friedrich Ernst Schönborn,https://d-nb.info/gnd/116863919
4,"Sorbait, Paul de",https://d-nb.info/gnd/12254689X
4,"Weintraut, Dietrich",https://d-nb.info/gnd/122547969
4,Hans von Dieskau,https://d-nb.info/gnd/135737478
4,"Bancroft, George",https://d-nb.info/gnd/118656996
4,Ernst Theodor Langer,https://d-nb.info/gnd/116719761
4,Johann Carl Fürchtegott Schlegel,https://d-nb.info/gnd/100799434
4,Nathanael Dilger,https://d-nb.info/gnd/116124466
4,Gustav von Schweden,https://d-nb.info/gnd/118543733
4,Barnim XI. von Pommern,https://d-nb.info/gnd/10099721X
4,Fürst Johann Casimir von Anhalt-Dessau,https://d-nb.info/gnd/100858457
4,Matthew F. Maury,https://d-nb.info/gnd/116857986
4,"Behrens, Lilli",https://d-nb.info/gnd/116111364
4,Wilhelm Mommsen,https://d-nb.info/gnd/118784528
4,Heinrich Merkel,https://d-nb.info/gnd/119759950
4,"Camerarius, Ludwig",https://d-nb.info/gnd/118666754
4,"Ledermüller, Martin Frobenius",https://d-nb.info/gnd/116852844
4,Horace H. Wilson,https://d-nb.info/gnd/11739775X
4,Friedrich Nausea,https://d-nb.info/gnd/11878577X
4,"Walthausen, Jobst",https://d-nb.info/gnd/122522249
4,"Hom, Georg Albert",https://d-nb.info/gnd/129587087
4,Wolfgang Dietrich Sulzer,https://d-nb.info/gnd/117374377
4,Justin Timotheus Balthasar Linde,https://d-nb.info/gnd/119095645
4,Rektor [Johann Schwertfeger],https://d-nb.info/gnd/142499927
4,Dietrich von Starschedel,https://d-nb.info/gnd/104372729
4,"Néaulme, Jean",https://d-nb.info/gnd/100850030
4,"Sartorius von Waltershausen, Wolfgang",https://d-nb.info/gnd/116809639
4,"Fries, Jakob Friedrich",https://d-nb.info/gnd/11853601X
4,Valentin Paceus,https://d-nb.info/gnd/100769292
4,August Ferdinand Bernhardi,https://d-nb.info/gnd/118656449
4,Friedrich von Gentz,https://d-nb.info/gnd/118538489
4,"du Bellay, Guillaume",https://d-nb.info/gnd/129084794
4,Johann Hartwig Ernst von Bernstorff,https://d-nb.info/gnd/11614775X
4,August Neidhardt von Gneisenau,https://d-nb.info/gnd/118539957
4,"Toelken, Ernst Heinrich",https://d-nb.info/gnd/117404993
4,"Dobeneck, Caroline Friederike Henriette von",https://d-nb.info/gnd/116146079
4,Joseph von Görres,https://d-nb.info/gnd/11854019X
4,"Burckhard, Max",https://d-nb.info/gnd/117161144
4,"Rohde, Matthias",https://d-nb.info/gnd/1162461217
4,"Kayser, Thomas Christoph",https://d-nb.info/gnd/1109073070
4,"Müller, Karl Heinrich",https://d-nb.info/gnd/1209081016
4,Friedrich Adolph von Haugwitz,https://d-nb.info/gnd/132094312
4,Kg.in Dorothea von Dänemark,https://d-nb.info/gnd/132140594
4,Marie Czettritz-Neuhaus,https://d-nb.info/gnd/1076296181
4,James Madison,https://d-nb.info/gnd/118730029
4,"Kistner, Friedrich",https://d-nb.info/gnd/12081997X
4,Johann Jacob Müller,https://d-nb.info/gnd/13142744X
4,"Thieriot, Eva",https://d-nb.info/gnd/1078119090
4,"Löner, Caspar",https://d-nb.info/gnd/121376168
4,"Hauptmann, Maria",https://d-nb.info/gnd/116534796
4,"Spohr, Carl Heinrich",https://d-nb.info/gnd/121381161
4,"Steinheil, Carl August",https://d-nb.info/gnd/11900755X
4,Clara Franziska Jacobi,https://d-nb.info/gnd/11654418X
4,Laurenz Zellweger,https://d-nb.info/gnd/117595950
4,"Haessler, Carl",https://d-nb.info/gnd/116369078
4,"Lachner, Franz",https://d-nb.info/gnd/118725815
4,Karl Krafft,https://d-nb.info/gnd/11635920X
