amount,lat_x,long_x,name_x,country_code_x
10896,52.52437,13.41053,Berlin,DE
6974,48.20849,16.37208,Vienna,AT
5491,48.85341,2.3488,Paris,FR
4722,50.9803,11.32903,Weimar,DE
4678,51.33962,12.37129,Leipzig,DE
4520,51.05089,13.73832,Dresden,DE
4401,51.53443,9.93228,Göttingen,DE
4149,49.94782,11.57893,Bayreuth,DE
3495,46.94809,7.44744,Bern,CH
3328,52.37052,9.73322,Hanover,DE
2913,47.06667,15.45,Graz,AT
2669,51.31667,9.5,Kassel,DE
2344,50.11552,8.68417,Frankfurt am Main,DE
1739,47.36667,8.55,Zurich,CH
1603,48.37154,10.89851,Augsburg,DE
1584,49.43083,11.08528,Nuremberg,DE
1527,50.08804,14.42076,Prague,CZ
1457,51.1,6.5,Jüchen,DE
1419,53.55073,9.99302,Hamburg,DE
1253,51.50853,-0.12574,London,GB
1233,48.13743,11.57549,Munich,DE
1160,50.31297,11.91261,Hof,DE
994,51.48158,11.97947,Halle,DE
913,46.36091,6.93272,Roche,CH
875,49.40768,8.69079,Heidelberg,DE
875,51.56016,12.99617,Torgau,DE
868,53.55,9.93333,Altona,DE
795,48.58392,7.74553,Strasbourg,FR
768,50.92878,11.5899,Jena,DE
741,46.516,6.63282,Lausanne,CH
735,49.23165,10.4642,Landkreis Ansbach,DE
732,54.70649,20.51095,Kaliningrad,RU
704,52.39886,13.06566,Potsdam,DE
699,52.26594,10.52673,Braunschweig,DE
660,49.45421,11.07752,Nuremberg,DE
646,51.10773,17.03533,Wrocław,PL
634,48.78232,9.17702,Stuttgart,DE
631,48.20769,16.37049,Inner city,AT
619,51.01815,11.42746,Oßmannstedt,DE
613,48.52266,9.05222,Tübingen,DE
600,59.93863,30.31413,St Petersburg,RU
599,46.20222,6.14569,Geneva,CH
586,45.41519,11.88181,Padova,IT
583,48.09345,9.79053,Biberach an der Riss,DE
564,49.3875,11.3572,Altdorf b.Nürnberg,DE
558,41.89193,12.51133,Rome,IT
557,49.98419,8.2791,Mainz,DE
538,50.80904,8.77069,Marburg,DE
512,50.56787,10.41521,Meiningen,DE
511,50.9787,11.03283,Erfurt,DE
509,47.55839,7.57327,Basel,CH
507,53.07582,8.80717,Bremen,DE
487,50.94823,10.70193,Gotha,DE
479,47.79941,13.04399,Salzburg,AT
472,49.87167,8.65027,Darmstadt,DE
462,50.77664,6.08342,Aachen,DE
457,49.01681,12.09536,Regensburg,DE
447,50.73438,7.09549,Bonn,DE
446,51.8661,12.64973,Wittenberg,DE
437,48.2066,16.37341,Vienna,AT
428,52.12773,11.62916,Magdeburg,DE
428,45.4389,12.33092,Venice,IT
413,48.2088,16.38409,Wien-Fluss,AT
409,55.67594,12.56553,Copenhagen,DK
386,51.1,17.03333,Wroclaw,PL
385,49.01513,12.10161,Regensburg,DE
383,49.4891,8.46694,Mannheim,DE
380,49.20307,10.65063,Triesdorf,DE
378,52.37403,4.88969,Amsterdam,NL
340,53.60194,10.15667,Rahlstedt,DE
325,51.73298,13.04729,Annaburg,DE
321,45.46427,9.18951,Milan,IT
320,47.38283,8.53071,Zurich,CH
315,47.55773,7.59361,Basel,CH
315,50.11035,8.67185,Frankfurt,DE
301,47.26266,11.39454,Innsbruck,AT
291,50.93376,10.72818,Seeberg Observatory (1787-1934),DE
289,51.04962,12.1369,Zeitz,DE
285,52.2279,11.00985,Helmstedt,DE
282,45.07049,7.68682,Turin,IT
280,54.35227,18.64912,Gdansk,PL
275,51.96236,7.62571,Münster,DE
268,50.98763,12.43684,Altenburg,DE
268,50.08333,14.46667,Hlavní město Praha,CZ
265,50.04422,10.22672,Schweinfurt,DE
257,49.5888,11.00977,Erlangen,DE
246,50.82567,15.52274,Szklarska Poręba,PL
241,52.16442,10.54095,Wolfenbüttel,DE
240,48.13307,16.25839,Rodaun,AT
239,51.20148,11.96843,Weißenfels,DE
238,50.25937,10.96384,Coburg,DE
235,49.5631,3.62714,Laon,FR
224,54.13244,21.68244,Sztynort,PL
221,46.26724,6.15561,Genthod,CH
217,49.63278,8.35916,Worms,DE
210,47.1237,7.27887,Brügg,CH
210,51.89562,11.05622,Halberstadt,DE
210,54.68916,25.2798,Vilnius,LT
204,51.9662,12.08517,Zerbst,DE
199,53.14118,8.21467,Oldenburg,DE
196,50.10061,8.76647,Offenbach,DE
195,50.85045,4.34878,Brussels,BE
194,52.57601,13.29389,Tegel,DE
184,49.79391,9.95121,Würzburg,DE
183,51.22172,6.77616,Düsseldorf,DE
180,48.8534,2.3486,Paris,FR
178,49.7822,9.94041,Kreisfreie Stadt Würzburg,DE
178,52.5,13.41667,Land Berlin,DE
177,47.98333,15.01667,Stiebar,AT
177,45.43713,12.33265,Venice,IT
172,48.2,16.3,Gemeindebezirk Penzing,AT
171,45.74846,4.84671,Lyon,FR
170,50.53348,14.1318,Litoměřice,CZ
169,52.15833,4.49306,Leiden,NL
169,51.23812,6.78678,Düsseldorf-Pempelfort,DE
164,50.93194,11.59056,Kreisfreie Stadt Jena,DE
162,50.91089,13.33881,Freiberg,DE
162,46.3181,6.96457,Aigle,CH
161,40.85216,14.26811,Naples,IT
161,43.77925,11.24626,Florence,IT
161,59.32938,18.06871,Stockholm,SE
159,44.49381,11.33875,Bologna,IT
157,53.2509,10.41409,Lüneburg,DE
155,49.8934,10.89115,Bamberg,DE
154,46.38318,6.23955,Nyon,CH
154,49.00937,8.40444,Karlsruhe,DE
152,47.9959,7.85222,Freiburg im Breisgau,DE
151,59.72333,30.41583,Tsarskoye Selo,RU
148,49.32083,8.43111,Speyer,DE
148,47.90289,1.90389,Orléans,FR
148,48.39841,9.99155,Ulm,DE
147,50.8357,12.92922,Chemnitz,DE
146,49.376,10.1795,Rothenburg ob der Tauber,DE
142,51.83976,16.33438,Osowa Sień,PL
142,53.86893,10.68729,Lübeck,DE
141,50.22269,11.93226,Schwarzenbach a.d.Saale,DE
141,47.04439,7.27578,Aarberg,CH
140,43.39028,-1.65972,Saint-Jean-de-Luz,FR
140,51.83864,12.24555,Dessau,DE
137,48.52961,12.16179,Landshut,DE
136,49.51033,11.27678,Lauf a.d.Pegnitz,DE
132,51.81666,12.6666,Landkreis Wittenberg,DE
130,43.61093,3.87635,Montpellier,FR
130,45.40797,11.88586,Padua,IT
129,51.16158,13.4737,Meissen,DE
125,50.25847,10.95787,Coburg,DE
124,49.61514,3.21857,Chauny,FR
123,51.12821,12.80295,Colditz,DE
123,49.19522,16.60796,Brno,CZ
121,48.00543,16.23264,Baden bei Wien,AT
121,48.5665,13.43122,Passau,DE
120,52.07667,4.29861,The Hague,NL
118,51.16651,6.5418,Liedberg,DE
118,49.97704,9.15214,A-Burg,DE
117,51.01419,6.27195,Rurich,DE
117,47.71109,13.61893,Bad Ischl,AT
114,51.14987,11.80979,Naumburg,DE
114,48.12863,9.79749,Warthausen,DE
114,47.60998,13.78243,Bad Aussee,AT
114,48.69059,10.38598,Trugenhofen,DE
114,47.14303,6.8922,La Ferrière,CH
113,46.63845,6.63525,Echallens,CH
113,51.5018,10.7957,Nordhausen,DE
112,50.93333,6.95,Cologne,DE
110,54.32133,10.13489,Kiel,DE
110,47.71843,10.31324,Kempten (Allgäu),DE
108,46.63639,14.14639,Pörtschach am Wörthersee,AT
106,54.12588,20.57954,Lidzbark Warmiński,PL
105,47.48096,8.20869,Brugg,CH
103,49.59099,11.00783,Erlangen,DE
103,52.26065,9.04939,Bückeburg,DE
103,51.35478,11.98923,Merseburg,DE
102,49.9461,11.57616,Bayreuth,DE
101,59.91273,10.74609,Oslo,NO
101,53.08333,8.83333,Bremen,DE
98,52.51486,13.40285,Alt-Kölln,DE
97,48.71804,10.7793,Donauwörth,DE
97,52.15274,4.4836,Gemeente Leiden,NL
97,50.9807,10.31522,Eisenach,DE
97,50.98278,11.0425,Kreisfreie Stadt Erfurt,DE
96,48.62219,10.24312,Giengen an der Brenz,DE
94,50.72724,12.48839,Zwickau,DE
93,52.504,13.352,Berlin,DE
93,52.45052,13.62463,Friedrichshagen,DE
92,51.20949,7.87261,Plettenberg,DE
91,51.01467,13.86595,Hosterwitz,DE
90,52.62264,10.08047,Celle,DE
89,50.94819,10.70212,Gotha,DE
88,48.19811,16.39482,Gemeindebezirk Landstrasse,AT
87,54.09311,13.38786,Greifswald,DE
87,46.62472,14.30528,Klagenfurt,AT
86,40.71427,-74.00597,New York,US
86,48.14816,17.10674,Bratislava,SK
86,48.89667,3.39643,Viels-Maisons,FR
85,38.71667,-9.13333,Lisbon,PT
83,41.90036,12.49575,Rome,IT
82,51.84172,12.42116,Wörlitz,DE
81,52.40416,13.0385,Sanssouci,DE
80,40.83333,14.25,Naples,IT
80,47.95285,2.78861,Conflans-sur-Loing,FR
79,53.14193,8.90338,Lilienthal,DE
79,22.785,5.52278,Tamanghasset,DZ
79,52.06866,4.28635,Gemeente Den Haag,NL
79,49.13995,9.22054,Heilbronn,DE
79,44.50657,11.35041,Bologna,IT
78,49.89873,10.90067,Bamberg,DE
76,56.9083,60.8019,Beryozovsky,RU
76,47.97281,2.77186,Amilly,FR
75,48.89745,11.17165,Eichstätt,DE
74,40.4165,-3.70256,Madrid,ES
